account_id,customer_id,account_type,balance,open_date,status
1,810,Loan,162473.44,2022-12-07,Closed
2,1864,Checking,9232.99,2023-11-29,Inactive
3,164,Savings,173513.29,2016-05-03,Inactive
4,1504,Savings,177777.77,2016-03-20,Closed
5,1513,Checking,84853.36,2023-06-02,Closed
6,1214,Savings,108321.07,2016-12-17,Active
7,1202,Checking,83120.58,2016-11-17,Inactive
8,1330,Checking,127014.53,2016-04-05,Closed
9,458,Checking,146246.81,2019-05-30,Closed
10,1623,Savings,34634.35,2021-09-11,Closed
11,388,Savings,145220.87,2018-09-02,Closed
12,2022,Checking,178489.69,2019-03-09,Inactive
13,1877,Loan,123256.85,2022-04-17,Closed
14,2145,Loan,91413.12,2019-04-02,Active
15,1338,Checking,7176.62,2021-05-27,Closed
16,415,Checking,102282.77,2017-12-27,Closed
17,323,Checking,185451.83,2017-05-28,Closed
18,1237,Checking,79848.29,2023-06-17,Active
19,1053,Loan,130405.53,2018-07-07,Active
20,1776,Savings,158625.78,2018-11-24,Closed
21,1069,Checking,122924.09,2019-12-25,Closed
22,999,Loan,159690.30,2015-08-25,Inactive
23,1938,Savings,152024.17,2021-03-20,Inactive
24,1126,Loan,137617.09,2016-12-07,Active
25,1134,Loan,134123.65,2021-10-20,Closed
26,1633,Savings,135480.75,2020-11-29,Inactive
27,21,Checking,41030.84,2024-07-12,Inactive
28,532,Checking,53044.18,2024-09-13,Closed
29,1304,Savings,43875.40,2022-11-04,Active
30,1330,Savings,12276.35,2022-08-12,Inactive
31,1887,Loan,83863.34,2019-09-03,Closed
32,1347,Loan,77502.42,2017-05-02,Closed
33,52,Checking,67789.49,2020-02-02,Inactive
34,1821,Savings,92120.48,2019-03-23,Closed
35,2044,Savings,106214.19,2024-09-05,Active
36,1598,Checking,80289.11,2023-05-24,Closed
37,322,Loan,97050.97,2016-06-02,Inactive
38,341,Savings,149476.18,2021-11-05,Closed
39,1513,Checking,58010.52,2017-04-30,Inactive
40,1850,Loan,93209.71,2016-07-21,Active
41,683,Loan,70001.09,2021-04-17,Inactive
42,1702,Savings,150153.38,2020-08-18,Inactive
43,2011,Savings,74744.51,2017-12-09,Closed
44,540,Checking,121227.91,2017-06-07,Active
45,398,Checking,43270.23,2017-05-16,Active
46,1186,Savings,172911.10,2024-05-04,Closed
47,1643,Loan,81407.50,2023-12-21,Active
48,1713,Loan,55415.38,2021-03-18,Inactive
49,433,Loan,176893.95,2019-10-30,Closed
50,1302,Loan,106893.22,2017-05-30,Inactive
51,923,Checking,98714.06,2017-12-23,Inactive
52,1173,Checking,30972.04,2022-01-13,Active
53,1639,Checking,169.14,2020-12-28,Inactive
54,1901,Loan,34040.27,2025-05-04,Active
55,1571,Loan,130447.40,2021-03-04,Inactive
56,1681,Savings,127101.58,2017-06-17,Closed
57,919,Savings,121746.07,2023-07-22,Closed
58,330,Loan,113902.23,2018-12-14,Inactive
59,94,Checking,121767.41,2019-06-03,Active
60,1933,Loan,17738.77,2022-02-28,Inactive
62,1595,Loan,102022.76,2022-08-28,Active
63,662,Checking,73497.40,2020-08-28,Active
64,718,Checking,187396.75,2024-10-17,Active
65,1322,Savings,58242.87,2017-07-02,Active
66,848,Loan,91966.51,2020-03-14,Active
67,1818,Savings,159249.09,2019-04-03,Inactive
68,2049,Loan,21787.04,2016-12-17,Closed
69,1357,Savings,48595.12,2019-03-03,Closed
70,287,Savings,149596.02,2023-02-15,Closed
71,1665,Loan,199104.68,2019-12-13,Inactive
72,289,Checking,191493.75,2015-11-09,Closed
73,496,Loan,155207.60,2015-06-21,Closed
74,2188,Loan,4255.89,2017-01-14,Inactive
75,245,Checking,162238.31,2025-02-07,Closed
76,164,Checking,79585.60,2024-10-05,Closed
77,1803,Checking,157378.42,2016-06-12,Active
78,598,Checking,151467.06,2017-06-14,Closed
79,458,Loan,33375.17,2017-04-16,Inactive
80,1392,Savings,182551.41,2015-07-17,Inactive
81,861,Checking,18973.70,2022-06-07,Closed
82,304,Checking,179788.66,2019-09-06,Inactive
83,1003,Checking,68159.80,2024-11-27,Closed
84,1822,Checking,157368.48,2018-04-05,Closed
85,1057,Loan,54697.45,2018-07-17,Active
86,574,Savings,104116.75,2020-02-12,Active
87,906,Checking,112489.66,2020-01-29,Closed
88,1193,Checking,188930.78,2019-06-18,Active
89,1249,Checking,142472.31,2018-03-01,Closed
90,1208,Savings,148618.50,2021-12-31,Closed
91,527,Savings,121293.61,2021-05-15,Inactive
92,1054,Loan,45197.56,2019-12-23,Active
94,1492,Loan,101472.61,2020-10-21,Closed
95,1663,Checking,123501.23,2016-10-28,Active
96,1410,Loan,30753.31,2024-03-14,Closed
97,1288,Loan,74559.70,2023-12-26,Inactive
98,693,Loan,96151.52,2017-07-05,Inactive
99,1556,Savings,133583.34,2025-04-25,Active
100,1403,Savings,61516.31,2023-09-30,Active
101,615,Checking,121532.57,2023-12-23,Closed
102,490,Loan,38986.91,2021-01-29,Inactive
103,1882,Loan,182496.85,2021-01-01,Active
104,2147,Savings,148146.26,2016-07-26,Inactive
105,135,Checking,125093.61,2023-02-13,Inactive
106,2079,Savings,53930.45,2017-05-18,Closed
107,326,Savings,89049.89,2021-05-09,Closed
108,1016,Savings,50842.45,2020-04-22,Closed
109,749,Loan,187234.85,2019-07-08,Active
110,936,Loan,143334.76,2022-04-11,Active
111,165,Loan,52785.55,2025-04-24,Inactive
112,375,Loan,37597.84,2024-12-14,Active
113,543,Loan,60203.55,2016-02-26,Active
114,933,Savings,116928.32,2019-02-03,Closed
115,1955,Checking,19203.18,2020-01-18,Active
116,1307,Loan,14147.44,2021-09-15,Inactive
117,477,Checking,16218.93,2019-10-29,Active
118,410,Loan,117669.86,2024-07-17,Closed
119,1996,Checking,113650.52,2018-12-12,Closed
120,1761,Savings,143856.28,2015-12-12,Inactive
121,798,Loan,161056.06,2020-04-14,Closed
122,1869,Savings,49975.43,2020-02-07,Inactive
123,1109,Checking,126041.20,2016-04-20,Inactive
124,2078,Checking,102597.15,2024-05-20,Closed
125,1228,Checking,173385.82,2016-04-03,Active
126,1398,Checking,135407.43,2016-08-22,Closed
127,1265,Loan,87728.78,2016-01-11,Active
128,1998,Savings,63501.11,2015-07-23,Closed
129,1928,Checking,32207.74,2022-07-18,Active
130,1770,Loan,60580.52,2025-06-09,Inactive
131,1403,Loan,137235.27,2021-01-01,Active
132,793,Savings,152451.96,2022-04-12,Active
133,1259,Loan,60729.46,2024-08-30,Closed
134,1933,Savings,136791.64,2017-01-18,Closed
135,862,Loan,134213.39,2024-07-29,Inactive
136,641,Savings,153162.68,2019-02-18,Active
137,647,Loan,132349.44,2018-08-30,Inactive
138,2116,Checking,130524.87,2018-09-14,Inactive
139,1104,Savings,186535.13,2016-12-01,Inactive
140,1244,Checking,28569.80,2022-03-23,Inactive
141,1450,Loan,62727.00,2023-06-20,Inactive
142,1743,Loan,78405.21,2018-04-29,Inactive
143,24,Checking,10589.14,2022-01-31,Inactive
144,1449,Loan,160976.84,2022-01-03,Inactive
145,1124,Savings,163615.88,2020-05-11,Active
146,855,Loan,143192.88,2015-10-02,Inactive
147,1530,Savings,64030.08,2019-07-03,Inactive
148,1335,Loan,111774.44,2016-04-12,Active
149,881,Loan,100340.16,2023-01-24,Inactive
150,438,Savings,48249.13,2021-05-13,Inactive
151,1965,Loan,118384.52,2015-07-06,Active
152,1598,Loan,191926.21,2021-03-10,Closed
153,1995,Savings,55668.59,2025-01-20,Closed
154,1537,Savings,19838.70,2025-03-27,Closed
155,1404,Checking,107348.09,2025-02-07,Inactive
156,1165,Savings,94104.09,2015-12-03,Closed
157,304,Checking,195424.34,2022-10-14,Closed
158,1695,Savings,174727.10,2020-03-10,Closed
159,1225,Loan,39598.86,2015-10-23,Active
160,1796,Savings,65232.34,2024-03-27,Closed
161,1068,Loan,105971.01,2017-06-03,Inactive
162,90,Savings,154306.19,2016-06-25,Active
163,1286,Checking,180973.25,2021-11-06,Inactive
164,880,Savings,63914.06,2023-01-27,Active
165,1888,Checking,66268.93,2017-05-03,Closed
166,1061,Checking,120525.19,2016-06-08,Active
167,575,Savings,128269.17,2025-03-31,Inactive
168,1624,Checking,159518.45,2017-03-28,Closed
169,247,Loan,74381.61,2022-12-22,Closed
170,1791,Savings,191937.55,2021-11-08,Inactive
171,2016,Checking,114750.50,2021-09-30,Closed
172,275,Loan,14648.29,2017-02-15,Active
173,461,Loan,31223.90,2015-10-05,Closed
174,360,Loan,184460.62,2021-01-02,Closed
175,782,Savings,153306.61,2018-03-21,Inactive
176,1135,Checking,89983.36,2015-11-23,Closed
177,624,Loan,65751.10,2024-08-26,Active
178,1392,Checking,105306.65,2021-12-19,Closed
179,1772,Savings,79993.95,2021-01-16,Inactive
180,27,Loan,165558.64,2019-02-13,Active
181,35,Savings,64138.05,2023-12-12,Active
182,1061,Savings,116667.48,2020-05-19,Inactive
183,2181,Checking,130549.35,2025-04-25,Active
184,1453,Loan,173382.25,2020-01-30,Active
185,774,Savings,40831.91,2021-06-24,Active
186,414,Savings,106451.12,2021-07-16,Active
187,522,Loan,69378.18,2024-07-11,Active
188,1342,Checking,185657.33,2018-10-16,Closed
189,856,Savings,60237.37,2018-08-30,Inactive
190,1111,Savings,187228.60,2016-11-27,Active
191,1456,Savings,27031.09,2024-05-24,Inactive
192,505,Checking,4597.49,2021-08-28,Closed
193,855,Checking,9367.47,2022-11-08,Inactive
194,1636,Savings,40729.27,2022-01-05,Inactive
195,511,Savings,193833.38,2021-02-10,Closed
196,2116,Savings,32158.04,2019-10-26,Active
197,493,Checking,147998.72,2025-01-24,Inactive
199,2077,Checking,95334.78,2019-10-24,Closed
200,459,Checking,2737.16,2023-04-29,Inactive
201,1721,Checking,192294.54,2024-02-20,Active
202,1453,Checking,189119.22,2017-04-06,Active
203,1779,Loan,59789.23,2017-12-22,Closed
204,346,Loan,128538.18,2022-06-10,Inactive
205,1931,Savings,190237.48,2024-04-04,Inactive
206,1325,Savings,27717.53,2024-10-15,Active
207,727,Loan,1359.43,2024-03-15,Closed
208,638,Savings,138861.58,2017-07-28,Active
209,251,Loan,160377.24,2015-08-01,Closed
210,1201,Checking,123319.78,2023-06-10,Active
211,1718,Savings,34514.81,2024-12-13,Closed
212,621,Loan,161788.23,2021-11-08,Closed
213,744,Checking,175755.02,2019-07-07,Active
214,666,Savings,99259.86,2018-06-14,Inactive
215,1654,Loan,74323.42,2016-06-18,Inactive
216,1316,Savings,156545.41,2016-11-01,Inactive
217,117,Checking,6361.67,2023-05-12,Active
218,1670,Savings,107664.72,2016-02-20,Closed
219,2152,Savings,31213.60,2019-03-03,Active
220,1429,Savings,17970.84,2015-11-07,Active
221,461,Checking,92618.88,2023-10-22,Inactive
222,2199,Checking,26448.28,2024-05-24,Closed
223,3,Checking,94986.82,2017-07-06,Inactive
224,526,Checking,131103.04,2023-05-11,Inactive
225,395,Checking,98306.74,2022-09-02,Closed
226,804,Savings,43471.88,2017-08-24,Active
227,585,Savings,131671.59,2019-09-15,Closed
228,389,Loan,80469.63,2018-05-26,Closed
229,432,Savings,44857.79,2021-01-09,Active
230,1234,Checking,141947.32,2021-03-02,Inactive
231,2130,Loan,115222.01,2024-06-30,Inactive
232,540,Checking,84115.20,2024-09-19,Closed
233,595,Loan,147150.27,2017-05-26,Active
234,1578,Loan,9127.70,2016-11-26,Active
235,747,Savings,28162.37,2017-06-09,Active
237,1970,Checking,171464.93,2022-12-11,Active
238,1662,Checking,198536.11,2023-05-06,Inactive
239,1077,Loan,87692.53,2022-08-01,Closed
240,1145,Loan,153586.47,2017-02-19,Inactive
241,1382,Savings,50684.53,2021-08-18,Inactive
242,1870,Loan,18848.93,2017-01-30,Inactive
243,2127,Checking,12155.11,2024-09-27,Inactive
244,1748,Loan,4595.50,2015-12-18,Closed
245,518,Savings,45038.57,2023-02-11,Inactive
246,456,Savings,109868.19,2024-01-06,Inactive
247,518,Checking,61059.60,2019-12-27,Inactive
248,340,Loan,36113.78,2020-10-01,Closed
249,799,Savings,167922.57,2017-08-13,Active
250,69,Savings,146549.17,2019-12-09,Inactive
251,2153,Loan,155877.51,2022-01-29,Closed
252,2174,Loan,8922.54,2023-06-05,Closed
253,1486,Loan,45699.92,2022-11-09,Closed
254,684,Checking,31329.33,2015-10-16,Closed
255,679,Loan,126679.68,2016-07-01,Closed
256,927,Loan,29986.24,2019-10-13,Closed
257,1737,Savings,55323.49,2017-10-28,Inactive
258,1215,Checking,180141.80,2021-05-02,Inactive
259,1952,Checking,64045.22,2023-01-04,Closed
260,1229,Savings,14511.53,2022-06-16,Closed
261,1277,Savings,184571.96,2020-10-29,Closed
262,274,Savings,150911.50,2023-11-30,Active
263,589,Checking,164399.47,2017-01-12,Active
264,1603,Savings,129039.97,2018-08-02,Inactive
266,927,Checking,27658.29,2019-10-29,Inactive
267,506,Loan,147800.82,2020-07-14,Closed
268,622,Savings,88397.96,2021-06-01,Closed
269,1129,Checking,1659.19,2024-09-24,Active
270,2133,Checking,104610.31,2020-08-02,Closed
271,1930,Savings,131914.50,2022-12-14,Inactive
272,512,Loan,148453.80,2025-02-15,Inactive
273,630,Savings,175985.49,2021-06-18,Closed
274,1399,Checking,189872.33,2016-12-14,Active
275,1563,Checking,22123.93,2022-02-10,Inactive
276,1745,Loan,33275.43,2016-07-18,Closed
278,363,Loan,120464.87,2025-03-21,Closed
279,1486,Savings,173806.94,2015-10-06,Closed
281,233,Loan,20590.61,2019-12-18,Inactive
282,1130,Checking,127873.22,2015-12-09,Inactive
283,1719,Loan,167177.40,2025-06-15,Inactive
284,341,Savings,19776.76,2015-10-29,Inactive
285,995,Loan,98742.70,2021-02-25,Closed
286,1777,Loan,52783.71,2020-08-16,Closed
287,1999,Loan,121131.44,2020-07-29,Closed
288,1540,Loan,103552.84,2020-10-03,Closed
289,1568,Savings,120133.29,2025-03-07,Closed
290,404,Loan,18530.17,2022-08-27,Active
291,1478,Loan,134358.18,2018-05-09,Closed
292,1728,Checking,143516.94,2021-10-28,Active
293,1423,Loan,157521.34,2017-12-02,Inactive
294,2142,Savings,188009.50,2017-04-28,Closed
295,1769,Loan,181570.30,2022-08-16,Active
296,741,Savings,125919.52,2021-05-27,Inactive
297,405,Checking,184094.27,2019-08-25,Active
298,1871,Checking,71397.08,2024-11-04,Closed
299,1410,Checking,194702.70,2023-03-26,Active
300,1134,Checking,156633.82,2019-02-25,Inactive
301,1877,Loan,198190.63,2025-05-12,Inactive
302,658,Savings,111474.79,2016-04-12,Closed
303,1319,Loan,79964.84,2023-03-30,Inactive
304,705,Checking,171257.60,2022-04-30,Inactive
305,1441,Loan,107416.07,2022-02-06,Active
306,1297,Checking,19810.28,2022-04-21,Closed
307,371,Loan,80916.09,2023-09-24,Closed
308,2037,Loan,36831.53,2021-07-11,Inactive
309,829,Checking,171123.19,2018-01-15,Inactive
310,1437,Checking,161082.45,2019-10-30,Inactive
311,653,Savings,64213.34,2020-07-09,Active
312,778,Loan,61760.78,2018-07-21,Closed
313,1214,Loan,107420.00,2015-09-13,Inactive
314,312,Savings,18219.42,2019-07-22,Closed
315,1658,Checking,28725.97,2017-03-23,Inactive
316,2183,Checking,79049.73,2020-12-01,Inactive
317,425,Loan,162821.90,2023-08-22,Inactive
318,337,Checking,199887.50,2023-11-11,Inactive
319,168,Savings,109371.44,2015-08-13,Closed
320,1122,Savings,98645.83,2022-05-04,Closed
321,897,Savings,174964.76,2021-05-14,Inactive
322,885,Savings,1989.88,2024-12-10,Active
323,86,Loan,96396.29,2016-07-30,Inactive
324,1698,Loan,110020.84,2017-03-15,Closed
325,788,Checking,36804.64,2017-09-08,Closed
326,1637,Loan,114879.10,2020-03-07,Inactive
327,1072,Loan,159257.86,2021-09-25,Inactive
328,1080,Checking,73730.81,2016-06-14,Active
329,1312,Loan,71093.37,2023-07-03,Closed
330,551,Checking,171918.91,2022-11-27,Closed
331,1012,Loan,115581.17,2024-10-29,Active
332,2079,Loan,94885.41,2019-06-09,Inactive
333,430,Loan,45178.80,2022-11-14,Inactive
334,918,Checking,53461.25,2019-04-08,Active
336,1787,Savings,190609.38,2016-03-08,Active
337,91,Loan,89417.89,2022-08-19,Closed
338,236,Checking,95063.60,2024-02-29,Closed
339,606,Savings,136242.41,2016-04-16,Active
340,1131,Loan,50028.42,2017-03-18,Closed
341,113,Loan,119346.57,2025-02-19,Inactive
342,547,Checking,42648.43,2017-10-29,Inactive
343,1270,Loan,139289.80,2017-12-12,Inactive
344,1354,Savings,113756.40,2023-04-12,Closed
345,1668,Savings,153143.20,2017-07-01,Closed
346,1289,Savings,194163.15,2022-07-31,Active
347,1468,Loan,23496.52,2022-07-10,Active
348,261,Loan,82449.14,2018-05-17,Active
349,798,Savings,195946.28,2018-12-21,Active
350,743,Savings,129706.11,2019-05-10,Inactive
351,490,Checking,17365.70,2021-07-21,Inactive
352,1587,Checking,75948.79,2018-07-11,Inactive
353,568,Checking,36189.41,2022-08-06,Inactive
354,1455,Savings,141306.22,2015-06-25,Inactive
355,2047,Savings,36505.56,2016-11-26,Inactive
356,822,Savings,69915.74,2023-04-22,Closed
357,335,Checking,90071.36,2023-01-27,Active
358,2146,Checking,3590.35,2018-05-30,Closed
359,250,Loan,11358.81,2022-07-20,Inactive
360,392,Savings,-153.36,2021-04-20,Closed
361,52,Savings,65035.36,2021-03-04,Inactive
362,114,Loan,112454.62,2024-01-19,Active
363,707,Savings,127114.59,2016-08-09,Inactive
364,745,Loan,43283.96,2018-12-06,Inactive
365,398,Loan,182479.23,2017-08-16,Closed
366,1533,Loan,34974.12,2022-11-08,Inactive
367,728,Loan,29344.38,2017-02-19,Inactive
368,125,Loan,7274.24,2018-09-10,Closed
369,493,Checking,186974.02,2021-03-02,Active
370,1430,Loan,35673.56,2019-11-19,Closed
371,686,Savings,99279.04,2017-10-13,Closed
372,636,Loan,183959.83,2023-02-27,Inactive
373,1593,Checking,188774.23,2015-07-21,Closed
374,269,Checking,48867.55,2016-11-09,Active
375,981,Checking,37262.21,2024-10-30,Inactive
376,171,Checking,11254.15,2017-08-21,Inactive
377,405,Loan,17736.17,2019-02-05,Closed
378,1313,Loan,112380.84,2018-11-25,Closed
379,2179,Loan,78534.08,2017-09-19,Closed
380,824,Checking,63723.44,2016-06-09,Inactive
381,812,Checking,188821.58,2016-05-03,Inactive
382,1656,Checking,75101.92,2018-04-14,Inactive
383,98,Checking,20415.86,2020-12-23,Closed
384,1983,Loan,77456.14,2019-04-02,Inactive
385,1177,Loan,139629.78,2016-03-11,Closed
386,171,Savings,189329.36,2020-02-23,Inactive
387,711,Loan,62387.55,2022-04-01,Active
388,2189,Savings,8965.11,2023-06-22,Inactive
389,1577,Savings,70029.00,2020-09-18,Closed
390,215,Loan,174677.89,2015-10-02,Closed
391,2083,Loan,169768.77,2023-03-03,Closed
392,1519,Loan,139686.21,2017-01-21,Active
393,405,Checking,189967.84,2024-09-21,Active
394,1312,Savings,142663.93,2021-10-16,Inactive
395,847,Loan,127904.44,2019-03-16,Active
396,186,Checking,40808.98,2019-06-01,Closed
397,477,Checking,450.13,2017-05-21,Active
398,1355,Savings,197410.64,2016-10-11,Active
399,1523,Checking,8473.74,2021-03-31,Active
400,1009,Loan,133540.83,2022-04-29,Inactive
401,1269,Savings,188024.69,2020-06-24,Closed
402,1117,Checking,137901.39,2024-02-01,Inactive
403,1695,Checking,55256.38,2019-03-15,Active
404,2000,Checking,119825.99,2020-12-19,Closed
405,1620,Savings,139048.35,2022-07-07,Inactive
406,528,Loan,137744.62,2018-06-26,Active
407,469,Savings,31364.23,2024-11-29,Inactive
408,273,Savings,107156.41,2023-04-19,Active
409,1051,Loan,142862.19,2021-03-27,Closed
410,1632,Checking,107020.15,2018-10-01,Inactive
411,1072,Savings,152078.35,2017-04-09,Inactive
412,828,Savings,110727.37,2024-02-14,Inactive
413,823,Savings,103404.22,2019-11-11,Active
414,1921,Checking,21423.45,2024-09-11,Active
415,156,Checking,36487.90,2019-06-28,Closed
416,277,Savings,86907.70,2019-07-04,Inactive
417,1795,Loan,28123.12,2021-11-26,Closed
418,169,Loan,186689.93,2020-05-09,Active
419,862,Loan,63243.22,2025-01-12,Closed
420,59,Savings,67940.17,2018-01-09,Inactive
421,719,Checking,92138.10,2017-05-06,Closed
422,232,Checking,75696.89,2021-04-28,Inactive
423,2071,Savings,44659.74,2018-01-05,Closed
424,797,Checking,131431.45,2025-06-12,Inactive
425,104,Checking,13411.27,2022-07-09,Active
426,2165,Checking,111149.05,2019-10-09,Active
427,1301,Savings,21828.84,2021-08-25,Active
428,1680,Loan,106621.89,2024-04-27,Closed
429,696,Loan,186526.51,2023-05-27,Inactive
430,158,Savings,180254.68,2016-07-14,Closed
431,958,Savings,75933.28,2021-11-23,Closed
432,240,Checking,153623.43,2021-12-29,Active
433,920,Loan,6556.64,2018-10-06,Closed
434,303,Savings,129596.96,2019-01-08,Inactive
435,1582,Checking,136964.80,2016-04-05,Inactive
436,1842,Loan,47152.64,2018-12-28,Inactive
437,1025,Checking,196016.29,2017-09-18,Closed
438,1864,Checking,183845.02,2018-03-14,Active
439,1861,Loan,175828.58,2017-02-03,Active
440,592,Checking,127237.19,2022-11-05,Active
441,1592,Checking,176328.47,2024-11-07,Inactive
442,86,Checking,160992.82,2024-03-12,Active
443,175,Checking,81779.48,2016-03-31,Closed
444,930,Checking,24567.36,2023-05-24,Closed
445,1446,Savings,188347.16,2015-07-07,Inactive
446,1712,Checking,146556.58,2017-02-01,Inactive
447,1592,Checking,72393.83,2024-03-02,Inactive
448,1634,Savings,144523.20,2018-02-10,Active
449,1008,Savings,142374.27,2016-11-18,Closed
450,798,Loan,131694.86,2021-02-23,Closed
452,1536,Loan,61033.25,2023-10-14,Inactive
453,579,Checking,21284.36,2019-12-07,Closed
454,1853,Checking,180887.55,2016-12-13,Closed
455,1689,Savings,39481.65,2017-09-26,Inactive
456,642,Loan,76550.25,2021-09-18,Closed
458,846,Checking,113262.28,2018-06-30,Active
459,1120,Loan,135966.35,2017-03-24,Active
460,1647,Loan,156262.71,2024-09-22,Active
461,618,Checking,62956.38,2024-10-01,Active
462,535,Checking,62901.03,2018-09-13,Closed
463,2174,Loan,125431.17,2018-10-11,Active
464,398,Savings,16692.89,2020-05-26,Active
465,217,Checking,170446.49,2015-09-20,Inactive
466,1462,Savings,148588.65,2016-10-14,Active
467,1260,Savings,72269.48,2023-06-11,Inactive
468,1830,Checking,67393.46,2025-03-30,Active
469,1187,Checking,19850.65,2016-09-09,Closed
470,655,Savings,32232.98,2020-08-19,Active
471,2181,Loan,81640.82,2019-12-27,Closed
472,1924,Loan,196652.26,2021-04-11,Closed
473,1022,Savings,132605.75,2021-09-06,Active
474,1823,Savings,151012.54,2023-07-07,Active
475,1561,Checking,75563.64,2022-11-23,Active
476,82,Loan,137468.36,2022-01-24,Inactive
477,1807,Loan,114168.00,2025-05-11,Inactive
478,82,Checking,189294.12,2021-11-14,Closed
479,1409,Checking,197556.97,2018-01-08,Inactive
480,283,Savings,26556.15,2021-04-23,Inactive
481,1613,Savings,21749.85,2018-11-21,Closed
482,808,Loan,63800.07,2022-06-14,Closed
483,341,Checking,120363.92,2023-02-20,Inactive
484,66,Loan,178155.06,2017-03-20,Inactive
485,693,Checking,170176.19,2017-03-15,Active
486,2103,Checking,196398.30,2023-09-20,Active
487,2006,Checking,181116.24,2017-07-20,Active
488,979,Loan,60980.54,2017-10-12,Inactive
489,1774,Checking,7611.38,2016-03-12,Closed
490,1877,Loan,15588.96,2019-05-05,Closed
491,129,Savings,174344.03,2020-08-25,Closed
492,44,Loan,114517.35,2021-09-13,Inactive
493,1560,Savings,180859.23,2023-08-14,Inactive
494,1591,Savings,138905.30,2020-01-10,Inactive
495,1537,Checking,73042.18,2017-07-15,Closed
496,1739,Checking,141309.74,2023-01-08,Active
497,1419,Loan,51948.38,2021-04-04,Active
498,2003,Checking,52967.84,2021-12-08,Inactive
499,348,Loan,182625.01,2021-04-27,Closed
500,465,Savings,162056.39,2018-05-26,Active
501,996,Savings,35010.00,2019-01-01,Active
502,631,Loan,160192.14,2015-07-24,Active
503,309,Savings,144482.98,2016-04-06,Closed
504,1398,Loan,13611.75,2017-09-05,Closed
505,1888,Loan,174616.99,2018-08-10,Closed
506,434,Loan,23956.67,2020-06-08,Closed
507,569,Savings,183559.44,2018-06-29,Active
508,761,Savings,143510.01,2017-08-27,Active
509,16,Checking,158214.34,2019-05-23,Active
510,862,Savings,143254.32,2023-02-12,Inactive
